GameID,Team A,Team A Score,Team A WKLoss,Team B,Team B Score,Team B WKLoss,DT_firstInning,DT_secondInning,DT_Points_TeamA,DT_Points_TeamB,DT_C_Team,DT_C_BattingOrder,DT_C_BattingOrder_Inning,DT_C_Position_Inning,DT_VC_Team,DT_VC_BattingOrder,DT_VC_BattingOrder_Inning,DT_VC_Position_Inning,DT_C_Position,DT_VC_Position,DT_CVC,DT_TeamA_PlayersCount,DT_TeamB_PlayersCount,DT_Ratio_of_Players,DT_CVC_Ratio,DT_C_Ratio_Inning,DT_VC_Ratio_Inning,DT_C_Position_Ratio_of_Players,DT_VC_Position_Ratio_of_Players,DT_TeamA_PrevMatch_PlayerCount,DT_TeamA_PrevMatch_Captain,DT_TeamA_PrevMatch_Vice-Captain,DT_TeamB_PrevMatch_PlayerCount,DT_TeamB_PrevMatch_Captain,DT_TeamB_PrevMatch_Vice-Captain
20240504GTRCB,GT,MED,HIGH,RCB,MED,MED,GT,RCB,367,436,GT,12,12_1st Inning,BOWL_1st Inning,RCB,2,2_2nd Inning,BAT_2nd Inning,BOWL,BAT,Different,5,6,6:5,Different_6:5,Different_1st Inning_6:5,Different_2nd Inning_6:5,Different_BOWL_6:5,Different_BAT_6:5,5,No,Yes,6,Yes,No
20240505CSKPBKS,CSK,MED,HIGH,PBKS,MED,HIGH,CSK,PBKS,454,379,CSK,6,6_1st Inning,ALL_1st Inning,PBKS,9,9_2nd Inning,BOWL_2nd Inning,ALL,BOWL,Different,6,5,6:5,Different_6:5,Different_1st Inning_6:5,Different_2nd Inning_6:5,Different_ALL_6:5,Different_BOWL_6:5,3,Yes,No,8,No,Yes
20240505KKRLSG,KKR,HIGH,MED,LSG,MED,HIGH,KKR,LSG,622,197,KKR,2,2_1st Inning,ALL_1st Inning,KKR,10,10_1st Inning,BOWL_1st Inning,ALL,BOWL,Same,8,3,8:3,Same_8:3,Same_1st Inning_8:3,Same_1st Inning_8:3,Same_ALL_8:3,Same_BOWL_8:3,6,Yes,No,5,Yes,No
20240506SRHMI,SRH,MED,HIGH,MI,MED,LOW,SRH,MI,253,508,MI,4,4_2nd Inning,BAT_2nd Inning,MI,9,9_2nd Inning,BOWL_2nd Inning,BAT,BOWL,Same,4,7,7:4,Same_7:4,Same_2nd Inning_7:4,Same_2nd Inning_7:4,Same_BAT_7:4,Same_BOWL_7:4,7,Yes,No,5,No,Yes
20240507RRDC,RR,HIGH,HIGH,DC,HIGH,HIGH,DC,RR,327,494,RR,3,3_2nd Inning,WK_2nd Inning,DC,2,2_1st Inning,WK_1st Inning,WK,WK,Different,4,7,7:4,Different_7:4,Different_2nd Inning_7:4,Different_1st Inning_7:4,Different_WK_7:4,Different_WK_7:4,4,No,Yes,4,No,No
20240508LSGSRH,LSG,MED,LOW,SRH,MED,LOW,LSG,SRH,220,375,SRH,2,2_2nd Inning,BAT_2nd Inning,SRH,1,1_2nd Inning,BAT_2nd Inning,BAT,BAT,Same,4,7,7:4,Same_7:4,Same_2nd Inning_7:4,Same_2nd Inning_7:4,Same_BAT_7:4,Same_BAT_7:4,3,No,No,4,No,No
20240509RCBPBKS,RCB,HIGH,MED,PBKS,HIGH,HIGH,RCB,PBKS,529,382,RCB,1,1_1st Inning,BAT_1st Inning,PBKS,3,3_2nd Inning,BAT_2nd Inning,BAT,BAT,Different,6,5,6:5,Different_6:5,Different_1st Inning_6:5,Different_2nd Inning_6:5,Different_BAT_6:5,Different_BAT_6:5,6,No,Yes,5,No,Yes
20240510CSKGT,CSK,HIGH,HIGH,GT,HIGH,LOW,GT,CSK,344,495,GT,2,2_1st Inning,BAT_1st Inning,GT,1,1_1st Inning,BAT_1st Inning,BAT,BAT,Same,6,5,6:5,Same_6:5,Same_1st Inning_6:5,Same_1st Inning_6:5,Same_BAT_6:5,Same_BAT_6:5,6,Yes,No,5,Yes,No
20240511MIKKR,MI,MED,HIGH,KKR,MED,MED,KKR,MI,308,359,KKR,6,6_1st Inning,ALL_1st Inning,MI,1,1_2nd Inning,WK_2nd Inning,ALL,WK,Different,5,6,6:5,Different_6:5,Different_1st Inning_6:5,Different_2nd Inning_6:5,Different_ALL_6:5,Different_WK_6:5,7,Yes,Yes,8,Yes,Yes
20240512DCRCB,DC,MED,HIGH,RCB,HIGH,HIGH,RCB,DC,304,456,RCB,11,11_1st Inning,BOWL_1st Inning,DC,6,6_2nd Inning,ALL_2nd Inning,BOWL,ALL,Different,5,6,6:5,Different_6:5,Different_1st Inning_6:5,Different_2nd Inning_6:5,Different_BOWL_6:5,Different_ALL_6:5,7,No,Yes,6,Yes,No
